,0
nr. strength trainings.1,0.08399357461255715
nr. strength trainings,0.06875797206399985
nr. strength trainings.2,0.061690123093272285
nr. rest days.1,0.034121237158270715
nr. rest days.2,0.027173392639233726
min training success.1,0.025312636285701316
max training success.1,0.025309164845399225
"nr. tough sessions (effort in Z5, T1 or T2)",0.025170998559531955
max training success,0.02327017690601143
nr. days with interval session,0.022710078487694383
min training success,0.021813732056870375
avg training success,0.02179485751359329
nr. rest days,0.021276723824897325
max training success.2,0.020940328394662356
"nr. tough sessions (effort in Z5, T1 or T2).1",0.018961091944391065
nr. sessions.1,0.017093205821255984
avg training success.1,0.016063793739747076
min training success.2,0.015392628190892196
avg training success.2,0.015095746258553531
nr. days with interval session.1,0.014852878999213375
"nr. tough sessions (effort in Z5, T1 or T2).2",0.014209292308818062
nr. sessions,0.014109310943138505
nr. days with interval session.2,0.01405640156783885
nr. sessions.2,0.011650931805004488
max km Z5-T1-T2 one day,0.01123255478445886
total hours alternative training,0.011156495887079156
max exertion,0.011070561806910321
min exertion.1,0.011070535033600814
total km Z5-T1-T2,0.011017436470337155
total kms.2,0.010636388866446396
max recovery,0.010317884854754019
max km Z3-4 one day,0.01024638740303538
total km Z3-4,0.009924488471519152
total hours alternative training.2,0.009635936742785288
min exertion,0.009372123414252236
avg exertion,0.009205993800945892
total hours alternative training.1,0.009194741855469969
total km Z5-T1-T2.1,0.009185106995786493
max km one day,0.009176707141352122
total km Z3-Z4-Z5-T1-T2,0.009159827138469167
total kms,0.009038146954372186
max exertion.2,0.00885670196050804
max km one day.2,0.008851637943809231
total kms.1,0.00825848030142098
rel total kms week 0_1,0.00825844390448136
rel total kms week 0_2,0.008166720822638942
rel total kms week 1_2,0.008094805048657965
min recovery.2,0.007801246096384198
min recovery,0.007636653369836968
min exertion.2,0.007541460510770088
min recovery.1,0.007524903084564628
max km Z5-T1-T2 one day.1,0.0075123875155364535
max km one day.1,0.0074286357683459705
max km Z5-T1-T2 one day.2,0.007153021463239572
avg recovery,0.006842145968741451
max km Z3-4 one day.1,0.006608632712033807
total km Z5-T1-T2.2,0.0065383407712832405
avg recovery.1,0.006426279139694034
max exertion.1,0.006346760634157974
max recovery.1,0.006188134641697869
max km Z3-4 one day.2,0.006146321522542705
avg recovery.2,0.0061111855677260275
total km Z3-Z4-Z5-T1-T2.2,0.006058348521175446
avg exertion.1,0.005981959206638809
total km Z3-4.1,0.005971999738106273
max recovery.2,0.005907046714541417
avg exertion.2,0.005816945011835852
total km Z3-Z4-Z5-T1-T2.1,0.005782304322397457
total km Z3-4.2,0.004726902095110142
